S07LSAT8_Gadolinium_Nitrate_Hydrate_ASDFRa_AREF.txt,impervious,0.37180746,0.3681964,0.36467922,0.34916273,0.027728111,0.015223879
S07LSAT8_Gadolinium_Oxide_A-5_SPEX_ASDFRc_AREF.txt,impervious,0.73394245,0.79219836,0.83546561,0.86205161,0.81089544,0.69843698
S07LSAT8_Gadolinium_Oxide_JMC313_ASDFRc_AREF.txt,impervious,0.82039237,0.85542196,0.87827486,0.8946324,0.83214474,0.67005032
S07LSAT8_GalvanizedSheetMetal_GDS334_ASDFRa_AREF.txt,impervious,0.092283808,0.087406754,0.078411035,0.061380509,0.11578339,0.12291527
S07LSAT8_Green_Slime_SM93-14A_Summitv_BECKa_AREF.txt,impervious,0.14123192,0.20898698,0.13076507,0.14722799,0.50826871,0.43351072
S07LSAT8_Iron_oxide_#4820_GDS782_ASDFRa_AREF.txt,impervious,0.014950772,0.028953269,0.14522058,0.18782258,0.51359373,0.51110649
S07LSAT8_Iron_oxide_GDS810_(Mars)_blk_ASDFRa_AREF.txt,impervious,0.014521726,0.01506997,0.016285053,0.015682535,0.016056374,0.018559854
S07LSAT8_Iron_Oxide_SA-480665_gamma_ASDHRa_AREF.txt,impervious,0.020489285,0.05748149,0.17147681,0.30527219,0.2777853,0.35204414
S07LSAT8_Iron_Powder_SA-267953_lt10_um_ASDHRa_AREF.txt,impervious,0.11285093,0.11334238,0.11555776,0.12787575,0.17437437,0.20720218
S07LSAT8_Iron_Sulfide_Cerac-I-1047_ASDHRa_AREF.txt,impervious,0.02967662,0.034805715,0.035992797,0.030899979,0.028955352,0.047246832
S07LSAT8_IronPowder_SA-209309_325mesh_ASDFRa_AREF.txt,impervious,0.12466712,0.12752047,0.1314396,0.14570084,0.20050997,0.24021457
S07LSAT8_Italian_burnt_sienna_GDS812_ASDFRa_AREF.txt,impervious,0.014508657,0.033792581,0.11248624,0.1596286,0.34519339,0.35030344
S07LSAT8_Italian_nat_sienna_GDS805_ASDFRa_AREF.txt,impervious,0.055561539,0.14198853,0.22769059,0.25571331,0.53131193,0.43520287
S07LSAT8_Kerogen_BK-Cornell_BECKa_AREF.txt,impervious,0.01335864,0.015993373,0.021372436,0.036634464,0.039353572,0.040629245
